Date and Time,LW,SM,T,RH,DP,Class
18-03-2021 14:00,Dry,7.2,33,30.9,13.6,Healthy
18-03-2021 14:30,Dry,7.3,34.2,32.9,15.6,Healthy
18-03-2021 15:00,Dry,7.1,34.3,32.7,15.6,Healthy
18-03-2021 15:30,Dry,7.2,33.9,33.8,15.7,Healthy
18-03-2021 16:00,Dry,7.1,33.6,33.4,15.3,Healthy
18-03-2021 16:30,Dry,7.2,33.1,32.3,14.3,Healthy
18-03-2021 17:00,Dry,7.1,32.1,34.1,14.3,Healthy
18-03-2021 17:30,Dry,7.1,31.2,34.9,13.9,Healthy
18-03-2021 18:00,Dry,7.1,30.2,38.1,14.3,Healthy
18-03-2021 18:30,Dry,6.9,29,41,14.4,Healthy
18-03-2021 19:00,Dry,6.7,27.5,46,14.8,Healthy
18-03-2021 19:30,Dry,6.8,26.3,50.4,15.2,Healthy
18-03-2021 20:00,Dry,6.8,25.3,54.5,15.5,Healthy
18-03-2021 20:30,Dry,6.7,24.4,58,15.6,Healthy
18-03-2021 21:00,Dry,6.6,23.9,60.2,15.7,Healthy
18-03-2021 21:30,Dry,6.6,23.5,62,15.8,Healthy
18-03-2021 22:00,Dry,6.6,23.2,64.2,16.1,Healthy
18-03-2021 22:30,Dry,6.6,22.8,65.6,16,Healthy
18-03-2021 23:00,Dry,6.5,22.8,66.3,16.2,Healthy
18-03-2021 23:30,Dry,6.5,22.8,67.6,16.5,Healthy
18-03-2021 14:30,Dry,9.6,34.6,32.9,15.9,Diseased
18-03-2021 15:00,Dry,10.2,35,31.4,15.5,Diseased
18-03-2021 15:30,Dry,9.9,34.7,32.2,15.7,Diseased
18-03-2021 16:00,Dry,9.9,34.3,31.4,14.9,Diseased
18-03-2021 16:30,Dry,9.9,33.5,31.3,14.2,Diseased
18-03-2021 17:00,Dry,9.9,32.4,33.9,14.5,Diseased
18-03-2021 17:30,Dry,9.9,31.4,35.3,14.2,Diseased
18-03-2021 18:00,Dry,9.6,30.5,38.4,14.7,Diseased
18-03-2021 18:30,Dry,9.6,29.1,41.7,14.8,Diseased
18-03-2021 19:00,Dry,9.2,27.6,47.1,15.3,Diseased
18-03-2021 19:30,Dry,8.9,26.3,51.8,15.6,Diseased
18-03-2021 20:00,Dry,8.9,25.3,56.1,15.9,Diseased
18-03-2021 20:30,Moist,8.9,24.4,59.4,16,Diseased
18-03-2021 21:00,Moist,8.6,24,61.4,16.1,Diseased
18-03-2021 21:30,Moist,8.6,23.6,63.2,16.2,Diseased
18-03-2021 22:00,Moist,8.6,23.2,65.5,16.4,Diseased
18-03-2021 22:30,Moist,8.6,22.9,66.7,16.4,Diseased
18-03-2021 23:00,Moist,7.9,22.9,67.1,16.5,Diseased
18-03-2021 23:30,Moist,7.9,22.9,68.5,16.8,Diseased
19-03-2021 00:00,Dry,6.5,22.6,68.1,16.4,Healthy
19-03-2021 00:30,Dry,6.5,22.6,68.8,16.6,Healthy
19-03-2021 01:00,Dry,6.2,22.5,69.1,16.5,Healthy
19-03-2021 01:30,Dry,6.5,22.6,69.6,16.8,Healthy
19-03-2021 02:00,Dry,6.5,22.6,69.8,16.8,Healthy
19-03-2021 02:30,Dry,6.3,22.5,70.6,16.9,Healthy
19-03-2021 03:00,Dry,6.3,22.4,70.9,16.9,Healthy
19-03-2021 03:30,Dry,6.3,22.3,71.9,17,Healthy
19-03-2021 04:00,Dry,6.3,22.2,72.8,17.1,Healthy
19-03-2021 04:30,Dry,6.3,22.4,68.8,16.4,Healthy
19-03-2021 05:00,Dry,6.3,22.7,68,16.5,Healthy
19-03-2021 05:30,Dry,6.3,22.8,66.3,16.2,Healthy
19-03-2021 06:00,Dry,6.2,22.6,67.2,16.2,Healthy
19-03-2021 06:30,Dry,6.2,22.3,69.1,16.4,Healthy
19-03-2021 07:00,Dry,6.1,22,71.1,16.5,Healthy
19-03-2021 07:30,Dry,6.2,22.1,72.1,16.8,Healthy
19-03-2021 08:00,Dry,6.2,23,69.1,17,Healthy
19-03-2021 08:30,Dry,6.2,23.9,67.7,17.6,Healthy
19-03-2021 09:00,Dry,6.2,25,62.2,17.3,Healthy
19-03-2021 09:30,Dry,6.2,26.2,58.6,17.4,Healthy
19-03-2021 10:00,Dry,6,27.5,53.1,17.1,Healthy
19-03-2021 10:30,Dry,6.3,30.6,43.4,16.7,Healthy
19-03-2021 11:00,Dry,23.6,32.8,41,17.8,Healthy
19-03-2021 11:30,Dry,20.5,34.9,36.9,18,Healthy
19-03-2021 12:00,Dry,19.2,35.4,35.2,17.7,Healthy
19-03-2021 12:30,Dry,17.9,35.6,34.3,17.5,Healthy
19-03-2021 13:00,Dry,17.4,36.1,35.6,18.5,Healthy
19-03-2021 13:30,Dry,17.4,36,36.1,18.6,Healthy
19-03-2021 14:00,Dry,16.6,35.8,35.1,18,Healthy
19-03-2021 14:30,Dry,16.2,35.5,34.1,17.3,Healthy
19-03-2021 15:00,Dry,15.6,34.7,34.6,16.8,Healthy
19-03-2021 15:30,Dry,15.2,34.1,35.7,16.8,Healthy
19-03-2021 16:00,Dry,14.9,33.6,33.7,15.4,Healthy
19-03-2021 16:30,Dry,14.9,33.3,33.7,15.2,Healthy
19-03-2021 17:00,Dry,14.6,32.3,36.9,15.7,Healthy
19-03-2021 17:30,Dry,14.2,31.3,38.5,15.5,Healthy
19-03-2021 18:00,Dry,14.2,30,37.3,13.8,Healthy
19-03-2021 18:30,Dry,13.6,28.5,39.5,13.4,Healthy
19-03-2021 19:00,Dry,13.2,27.1,42.9,13.4,Healthy
19-03-2021 19:30,Dry,13.2,26,46.1,13.5,Healthy
19-03-2021 20:00,Dry,12.9,25.1,49.6,13.8,Healthy
19-03-2021 20:30,Dry,12.9,24.4,52.8,14.1,Healthy
19-03-2021 21:00,Dry,12.6,23.8,55.7,14.4,Healthy
19-03-2021 21:30,Dry,12.2,23.2,58.2,14.5,Healthy
19-03-2021 22:00,Dry,12.2,23,60.1,14.8,Healthy
19-03-2021 22:30,Dry,12.2,23.2,62,15.5,Healthy
19-03-2021 23:00,Dry,11.9,23.2,62.7,15.7,Healthy
19-03-2021 23:30,Dry,11.9,22.8,64.3,15.7,Healthy
19-03-2021 00:00,Moist,8.2,22.7,68.8,16.7,Diseased
19-03-2021 00:30,Moist,8.2,22.6,69.6,16.8,Diseased
19-03-2021 01:00,Moist,7.9,22.6,69.8,16.8,Diseased
19-03-2021 01:30,Moist,8.2,22.6,70.1,16.9,Diseased
19-03-2021 02:00,Moist,8.2,22.7,70.3,17,Diseased
19-03-2021 02:30,Moist,7.9,22.6,71.2,17.1,Diseased
19-03-2021 03:00,Moist,7.9,22.5,71.6,17.1,Diseased
19-03-2021 03:30,Moist,7.9,22.4,72.6,17.2,Diseased
19-03-2021 04:00,Moist,7.9,22.3,73.4,17.3,Diseased
19-03-2021 04:30,Moist,7.9,22.6,69.2,16.7,Diseased
19-03-2021 05:00,Moist,7.9,22.9,68.1,16.7,Diseased
19-03-2021 05:30,Moist,8.2,23,66.7,16.5,Diseased
19-03-2021 06:00,Moist,7.9,22.7,67.6,16.4,Diseased
19-03-2021 06:30,Moist,7.9,22.4,69.7,16.6,Diseased
19-03-2021 07:00,Moist,7.9,22.1,71.8,16.8,Diseased
19-03-2021 07:30,Moist,7.9,22.2,72.6,17,Diseased
19-03-2021 08:00,Moist,7.9,23.2,69.1,17.2,Diseased
19-03-2021 08:30,Moist,7.9,24.2,67.6,17.8,Diseased
19-03-2021 09:00,Moist,8.2,25.4,61.6,17.5,Diseased
19-03-2021 09:30,Moist,7.9,26.8,57.4,17.7,Diseased
19-03-2021 10:00,Moist,7.9,28.1,51.5,17.2,Diseased
19-03-2021 10:30,Dry,7.9,31.2,41.7,16.7,Diseased
19-03-2021 11:00,Dry,41.4,33.2,38.2,17.1,Diseased
19-03-2021 11:30,Dry,33.7,35.7,35.2,18,Diseased
19-03-2021 12:00,Dry,30.7,36.3,32.7,17.3,Diseased
19-03-2021 12:30,Dry,29.3,36.3,33.4,17.6,Diseased
19-03-2021 13:00,Dry,28.4,36.4,33.9,18,Diseased
19-03-2021 13:30,Dry,27.5,36.5,32.9,17.6,Diseased
19-03-2021 14:00,Dry,26.6,36.3,32.8,17.4,Diseased
19-03-2021 14:30,Dry,26.2,36.1,31.9,16.7,Diseased
19-03-2021 15:00,Dry,25.8,35.3,32.4,16.3,Diseased
19-03-2021 15:30,Dry,25.8,34.7,32.8,16,Diseased
19-03-2021 16:00,Dry,24.9,34.2,30.8,14.6,Diseased
19-03-2021 16:30,Dry,24.4,33.9,32.6,15.2,Diseased
19-03-2021 17:00,Dry,24.4,32.8,36.8,16.1,Diseased
19-03-2021 17:30,Dry,23.6,31.6,38.1,15.6,Diseased
19-03-2021 18:00,Dry,23.6,30.1,37.6,14.1,Diseased
19-03-2021 18:30,Dry,23.6,28.6,40.3,13.8,Diseased
19-03-2021 19:00,Dry,23.6,27.1,43.8,13.7,Diseased
19-03-2021 19:30,Dry,23.1,26.1,47,13.9,Diseased
19-03-2021 20:00,Dry,22.7,25.2,50.6,14.2,Diseased
19-03-2021 20:30,Dry,22.3,24.4,53.8,14.4,Diseased
19-03-2021 21:00,Moist,22.3,23.8,56.7,14.7,Diseased
19-03-2021 21:30,Moist,21.8,23.2,59.4,14.8,Diseased
19-03-2021 22:00,Moist,21.8,23.1,61.1,15.2,Diseased
19-03-2021 22:30,Moist,21.4,23.4,62.5,15.8,Diseased
19-03-2021 23:00,Moist,21.4,23.3,63.3,15.9,Diseased
19-03-2021 23:30,Moist,21.4,22.9,65.5,16.1,Diseased
20-03-2021 00:00,Dry,11.9,22.2,66.8,15.7,Healthy
20-03-2021 00:30,Dry,11.2,21.7,69.1,15.8,Healthy
20-03-2021 01:00,Dry,11.6,21.3,70.8,15.8,Healthy
20-03-2021 01:30,Dry,11.9,21.3,71.3,15.9,Healthy
20-03-2021 02:00,Dry,11.2,21.1,71.6,15.8,Healthy
20-03-2021 02:30,Dry,11.2,20.9,72.1,15.7,Healthy
20-03-2021 03:00,Dry,11.6,20.7,73.2,15.7,Healthy
20-03-2021 03:30,Dry,11.2,20.4,74.8,15.8,Healthy
20-03-2021 04:00,Dry,11.2,20.2,76.4,15.9,Healthy
20-03-2021 04:30,Dry,11.2,20.1,76.8,15.9,Healthy
20-03-2021 05:00,Dry,11.2,20,77,15.8,Healthy
